Function,nr_c,dot_product_length,Num Samples,Max ABS difference,Min duration us,Max duration us,Average duration us
c_avx_fixed_dimension_matrix_multiply,2,7,405,1.2287812e-07,2.0,6.0,2.3
c_avx_fixed_dimension_accumulate_matrix_multiply,2,7,405,1.2287812e-07,1.0,13.0,1.9
c_matrix_multiply,2,7,1215,2.4257332e-07,53.0,71.0,54.5
c_opensal_matrix_multiply,2,7,1215,2.4257332e-07,44.0,60.0,45.3
c_avx_fixed_dimension_matrix_multiply,2,7,1215,1.8128046e-07,7.0,19.0,7.5
c_avx_fixed_dimension_accumulate_matrix_multiply,2,7,1215,2.4257332e-07,4.0,22.0,5.0
c_matrix_multiply,2,7,3645,1.8848644e-07,151.0,176.0,162.4
c_opensal_matrix_multiply,2,7,3645,1.8848644e-07,129.0,149.0,131.8
c_avx_fixed_dimension_matrix_multiply,2,7,3645,2.4027401e-07,20.0,31.0,21.1
c_avx_fixed_dimension_accumulate_matrix_multiply,2,7,3645,1.8848644e-07,13.0,17.0,13.2
c_matrix_multiply,2,7,10935,2.4027401e-07,463.0,507.0,475.7
c_opensal_matrix_multiply,2,7,10935,2.4027401e-07,389.0,445.0,400.9
c_avx_fixed_dimension_matrix_multiply,2,7,10935,2.4575624e-07,62.0,76.0,65.3
c_avx_fixed_dimension_accumulate_matrix_multiply,2,7,10935,2.4027401e-07,39.0,44.0,40.0
c_matrix_multiply,2,7,32805,2.4575624e-07,1418.0,1714.0,1618.8
c_opensal_matrix_multiply,2,7,32805,2.4575624e-07,1239.0,1538.0,1366.0
c_avx_fixed_dimension_matrix_multiply,2,7,32805,2.4575624e-07,207.0,224.0,211.9
c_avx_fixed_dimension_accumulate_matrix_multiply,2,7,32805,2.4575624e-07,160.0,269.0,173.1
c_matrix_multiply,2,7,98415,2.4575624e-07,4539.0,7131.0,6252.9
c_opensal_matrix_multiply,2,7,98415,2.4575624e-07,4020.0,6590.0,5714.6
c_avx_fixed_dimension_matrix_multiply,2,7,98415,2.4131143e-07,719.0,1428.0,1066.0
c_avx_fixed_dimension_accumulate_matrix_multiply,2,7,98415,2.4575624e-07,443.0,8573.0,677.2
c_matrix_multiply,2,8,5,1.2731557e-07,0.0,1.0,0.4
c_avx_split_matrix_multiply,2,8,5,9.0640228e-08,0.0,1.0,0.3
c_avx_interleave_matrix_multiply,2,8,5,9.0640228e-08,0.0,1.0,0.2
c_opensal_matrix_multiply,2,8,5,1.2731557e-07,0.0,1.0,0.3
c_avx_fixed_dimension_matrix_multiply,2,8,5,9.0640228e-08,0.0,1.0,0.2
c_avx_fixed_dimension_accumulate_matrix_multiply,2,8,5,1.2731557e-07,0.0,1.0,0.2
c_matrix_multiply,2,8,15,9.0640228e-08,0.0,1.0,0.8
c_avx_split_matrix_multiply,2,8,15,6.8160155e-08,0.0,1.0,0.4
c_avx_interleave_matrix_multiply,2,8,15,6.8160155e-08,0.0,1.0,0.3
c_opensal_matrix_multiply,2,8,15,9.0640228e-08,0.0,1.0,0.8
c_avx_fixed_dimension_matrix_multiply,2,8,15,6.8160155e-08,0.0,1.0,0.2
c_avx_fixed_dimension_accumulate_matrix_multiply,2,8,15,9.0640228e-08,0.0,1.0,0.2
c_matrix_multiply,2,8,45,1.7896909e-07,2.0,16.0,2.5
c_avx_split_matrix_multiply,2,8,45,1.3328004e-07,0.0,1.0,0.7
c_avx_interleave_matrix_multiply,2,8,45,1.3328004e-07,0.0,15.0,0.8
c_opensal_matrix_multiply,2,8,45,1.7896909e-07,2.0,3.0,2.0
c_avx_fixed_dimension_matrix_multiply,2,8,45,1.3328004e-07,0.0,1.0,0.4
c_avx_fixed_dimension_accumulate_matrix_multiply,2,8,45,1.7896909e-07,0.0,1.0,0.4
c_matrix_multiply,2,8,135,1.8431719e-07,6.0,10.0,7.0
c_avx_split_matrix_multiply,2,8,135,1.6858739e-07,1.0,2.0,1.5
c_avx_interleave_matrix_multiply,2,8,135,1.6858739e-07,1.0,12.0,1.4
c_opensal_matrix_multiply,2,8,135,1.8431719e-07,5.0,9.0,5.8
c_avx_fixed_dimension_matrix_multiply,2,8,135,1.6858739e-07,0.0,3.0,0.8
c_avx_fixed_dimension_accumulate_matrix_multiply,2,8,135,1.8431719e-07,0.0,2.0,0.7
c_matrix_multiply,2,8,405,1.802055e-07,20.0,24.0,20.6
c_avx_split_matrix_multiply,2,8,405,2.3888379e-07,4.0,11.0,4.2
c_avx_interleave_matrix_multiply,2,8,405,2.3888379e-07,3.0,7.0,3.9
c_opensal_matrix_multiply,2,8,405,1.802055e-07,16.0,22.0,16.9
c_avx_fixed_dimension_matrix_multiply,2,8,405,2.3888379e-07,2.0,3.0,2.8
c_avx_fixed_dimension_accumulate_matrix_multiply,2,8,405,1.802055e-07,1.0,2.0,1.8
c_matrix_multiply,2,8,1215,1.8431719e-07,61.0,65.0,61.6
c_avx_split_matrix_multiply,2,8,1215,2.3888379e-07,12.0,16.0,12.3
c_avx_interleave_matrix_multiply,2,8,1215,2.3888379e-07,11.0,14.0,11.3
c_opensal_matrix_multiply,2,8,1215,1.8431719e-07,50.0,55.0,51.0
c_avx_fixed_dimension_matrix_multiply,2,8,1215,2.3888379e-07,8.0,19.0,8.9
c_avx_fixed_dimension_accumulate_matrix_multiply,2,8,1215,1.8431719e-07,5.0,28.0,6.2
c_matrix_multiply,2,8,3645,2.3853497e-07,198.0,204.0,199.2
c_avx_split_matrix_multiply,2,8,3645,1.8128046e-07,40.0,45.0,40.4
c_avx_interleave_matrix_multiply,2,8,3645,1.8128046e-07,36.0,47.0,38.9
c_opensal_matrix_multiply,2,8,3645,2.3853497e-07,146.0,393.0,152.3
c_avx_fixed_dimension_matrix_multiply,2,8,3645,1.8128046e-07,23.0,26.0,23.5
c_avx_fixed_dimension_accumulate_matrix_multiply,2,8,3645,2.3853497e-07,15.0,19.0,16.0
c_matrix_multiply,2,8,10935,2.9950962e-07,516.0,573.0,530.5
c_avx_split_matrix_multiply,2,8,10935,3.0135735e-07,117.0,138.0,122.2
c_avx_interleave_matrix_multiply,2,8,10935,3.0135735e-07,96.0,115.0,100.1
c_opensal_matrix_multiply,2,8,10935,2.9950962e-07,443.0,463.0,455.2
c_avx_fixed_dimension_matrix_multiply,2,8,10935,3.0135735e-07,69.0,81.0,72.5
c_avx_fixed_dimension_accumulate_matrix_multiply,2,8,10935,2.9950962e-07,49.0,55.0,49.9
c_matrix_multiply,2,8,32805,2.4575624e-07,1617.0,3249.0,1850.1
c_avx_split_matrix_multiply,2,8,32805,2.4575624e-07,363.0,392.0,371.2
c_avx_interleave_matrix_multiply,2,8,32805,2.4575624e-07,332.0,1569.0,361.2
c_opensal_matrix_multiply,2,8,32805,2.4575624e-07,1422.0,3099.0,1629.5
c_avx_fixed_dimension_matrix_multiply,2,8,32805,2.4575624e-07,237.0,282.0,249.0
c_avx_fixed_dimension_accumulate_matrix_multiply,2,8,32805,2.4575624e-07,199.0,227.0,208.7
c_matrix_multiply,2,8,98415,2.4575624e-07,5150.0,8105.0,7164.6
c_avx_split_matrix_multiply,2,8,98415,2.4575624e-07,1674.0,3604.0,1800.4
c_avx_interleave_matrix_multiply,2,8,98415,2.4575624e-07,986.0,1142.0,1058.2
c_opensal_matrix_multiply,2,8,98415,2.4575624e-07,4905.0,7454.0,6355.0
c_avx_fixed_dimension_matrix_multiply,2,8,98415,2.4575624e-07,787.0,6614.0,1147.4
c_avx_fixed_dimension_accumulate_matrix_multiply,2,8,98415,2.4575624e-07,638.0,805.0,732.5
c_matrix_multiply,2,9,5,5.9604645e-08,0.0,1.0,0.4
c_opensal_matrix_multiply,2,9,5,5.9604645e-08,0.0,1.0,0.3
c_avx_fixed_dimension_matrix_multiply,2,9,5,5.9604645e-08,0.0,1.0,0.3
c_avx_fixed_dimension_accumulate_matrix_multiply,2,9,5,5.9604645e-08,0.0,1.0,0.2
c_matrix_multiply,2,9,15,8.9406967e-08,0.0,16.0,1.1
c_opensal_matrix_multiply,2,9,15,8.9406967e-08,0.0,1.0,0.8
c_avx_fixed_dimension_matrix_multiply,2,9,15,9.4243219e-08,0.0,1.0,0.3
